APTITUD_PI,NOM_DEP,NOM_PROV,NOM_DIST,SUPERFICIE_HA
FORESTAL PRODUCTIVO,SAN MARTIN,BELLAVISTA,SAN RAFAEL,9017.249513
PECUARIO,MADRE DE DIOS,MANU,MANU,2332.559031
AGRICOLA,CAJAMARCA,CAJAMARCA,NAMORA,3133.839726
AGRICOLA,JUNIN,JAUJA,LLOCLLAPAMPA,542.6853919
OTROS / SIN CLASIFICAR,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,261.8113584
FORESTAL PRODUCTIVO,ANCASH,MARISCAL LUZURIAGA,MUSGA,2446.650299
AGRICOLA,JUNIN,HUANCAYO,VIQUES,517.8596579
AGRICOLA,CAJAMARCA,CONTUMAZA,TANTARICA,226.9734153
PROTECCION,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,1888.95877
PROTECCION,ANCASH,HUARI,HUACACHI,521.1502087
AGRICOLA,SAN MARTIN,SAN MARTIN,SHAPAJA,402.1491916
PROTECCION,PASCO,OXAPAMPA,CONSTITUCION,212215.235
PECUARIO,PASCO,OXAPAMPA,CONSTITUCION,7160.950817
PROTECCION,ANCASH,BOLOGNESI,CAJACAY,13313.1087
AGRICOLA,JUNIN,JAUJA,MARCO,1183.149582
AGRICOLA,CAJAMARCA,SAN IGNACIO,HUARANGO,27444.89052
PROTECCION,HUANUCO,MARAÑON,HUACRACHUCO,34478.46111
PECUARIO,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,6083.528109
FORESTAL PRODUCTIVO,CAJAMARCA,CHOTA,MIRACOSTA,11995.2235
FORESTAL PRODUCTIVO,CAJAMARCA,CUTERVO,SAN JUAN DE CUTERVO,2354.056735
PROTECCION,SAN MARTIN,PICOTA,TRES UNIDOS,2506.001079
PROTECCION,ANCASH,BOLOGNESI,TICLLOS,6575.545257
PECUARIO,JUNIN,HUANCAYO,EL TAMBO,9269.583332
PECUARIO,JUNIN,JUNIN,CARHUAMAYO,12529.93573
PECUARIO,CAJAMARCA,HUALGAYOC,BAMBAMARCA,28733.4784
PROTECCION,CAJAMARCA,JAEN,SAN JOSE DEL ALTO,9987.230261
PECUARIO,HUANUCO,HUANUCO,SAN PEDRO DE CHAULAN,14121.62192
AGRICOLA,CAJAMARCA,CELENDIN,UTCO,1221.322819
AGRICOLA,SAN MARTIN,BELLAVISTA,HUALLAGA,133.9284954
